127.0.0.1 - - [13/Mar/2016:12:15:16 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:15:17 +0200] "GET /Mobile.bg/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:15:17 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:15:46 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:15:46 +0200] "GET /Mobile.bg/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:15:46 +0200] "GET /Mobile.bg/js/validation.js HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:19:05 +0200] "GET /Mobile.bg/publish.html? HTTP/1.1" 200 32635
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 200 33396
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:54 +0200] "GET /Mobile.bg/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:56 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:20:59 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:00 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:03 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:26 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 200 14605
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:26 +0200] "GET /Mobile.bg/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:26 +0200] "GET /Mobile.bg/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:26 +0200] "GET /Mobile.bg/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:26 +0200] "GET /Mobile.bg/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:26 +0200] "GET /Mobile.bg/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:27 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 200 33376
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:28 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:31 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:32 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:33 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:33 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:34 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:34 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:35 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:37 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:38 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:39 +0200] "GET /Mobile.bg/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:41 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:12:21:43 +0200] "GET /Mobile.bg/publish.html HTTP/1.1" 304 -
